"","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"12565","SPN",-0.0113163157752079,1.35027687053759,-0.0331041853400534,0.973635528472651,0.994279950509879,-5.80129801833517
"599","SELRC1",-0.00596882059235604,2.83636773626323,-0.0329163632663873,0.973785057133613,0.994279950509879,-6.07268416114347
"5052","CATSPER3",-0.0121833581132841,0.0161971743696665,-0.0329122795295335,0.973788308283154,0.994279950509879,-5.49318528688606
"6331","AC004538.3",-0.0223973906983361,-2.10196190011363,-0.0328585058382641,0.973831118700529,0.994279950509879,-5.34616791481667
"16686","TBC1D25",-0.00353794236521399,4.36506323886284,-0.0327471451609856,0.973919775625015,0.994279950509879,-6.34506412119481
"3591","TRH",-0.0270823017722919,-2.75581479690953,-0.0327137197673922,0.973946386451617,0.994279950509879,-5.28203770039641
"6533","VOPP1",-0.00498199148046918,6.53492719735537,-0.0325379850003596,0.974086293958846,0.994279950509879,-6.43328729365124
"214","NBL1",-0.0134396418276657,7.15088570312441,-0.0325026097162263,0.974114457338469,0.994279950509879,-6.44162727808842
"13064","AC012146.7",-0.0128038185944003,-0.437590069177778,-0.0324891644395238,0.974125161555939,0.994279950509879,-5.46544568221643
"14898","LGALS4",0.017382525115722,1.3442218031692,0.0324567105909363,0.974150999128597,0.994279950509879,-6.00431143425635
"8292","TUBB4B",0.00734738354442221,7.04459980239823,0.0323685243448497,0.974221207228032,0.994279950509879,-6.42773597379626
"14346","TBXA2R",-0.00987188665606187,1.89535446164447,-0.0323039865638948,0.974272588100001,0.994279950509879,-5.85446794200433
"3780","LRRFIP1P1",0.00989234565728614,1.21363534345754,0.0321685641260168,0.974380403172746,0.994279950509879,-5.74372575352098
"162","DNAJC16",0.00360946751671332,4.77385660428861,0.0321535714527691,0.974392339452464,0.994279950509879,-6.36973243267692
"5696","B3GALT4",0.00772752841484881,3.57024537864646,0.0321393642987738,0.974403650353556,0.994279950509879,-6.20169313995233
"11262","SOS2",-0.00443349201012033,5.49860847452266,-0.0319805514671582,0.974530088150411,0.994297344479771,-6.43073712422153
"9763","POU2AF1",0.0184901939360417,-0.548448905871244,0.0319719523326292,0.974536934313584,0.994297344479771,-5.63155181330686
"12384","C16orf71",-0.016321895541888,-0.0436019300016795,-0.0316291506532765,0.974809855902397,0.994516489640301,-5.50819558527784
"1051","TCHH",-0.0195515551288312,-1.05778673033444,-0.0314892341342844,0.974921251309852,0.994523467212431,-5.39867616969343
"16267","AC005003.1",-0.0136542169156653,-0.75274826168134,-0.031337773298969,0.975041838353427,0.994523467212431,-5.43659468674732
"9502","YIF1A",0.00438361406540988,6.26760374601225,0.0312953366014664,0.97507562485374,0.994523467212431,-6.42835929065649
"9280","KBTBD4",0.00714942311637623,1.9140504808033,0.0312736342087196,0.975092903498957,0.994523467212431,-5.87384575127309
"130","MASP2",-0.0257872932751404,-0.156334480723557,-0.0312554820774635,0.975107355565894,0.994523467212431,-5.79792341549995
"14353","MATK",-0.0129764750363653,0.813784107732074,-0.030918920461521,0.975375315178132,0.994688405952181,-5.60776398612254
"1119","RUSC1",-0.00530948893709393,6.41979612428481,-0.0307541473491882,0.975506503294405,0.994688405952181,-6.4307067712312
"3374","ADAMTS9",0.00955786746590848,5.30121645544302,0.0307235207070236,0.97553088751345,0.994688405952181,-6.44396459769133
"3047","EAF1-AS1",0.0217752332196466,-3.25965241337392,0.030644271252941,0.97559398418983,0.994688405952181,-5.22452246564032
"6026","C6orf3",0.0101393129325402,0.946249601396887,0.0306265499956559,0.975608093487142,0.994688405952181,-5.69854641689779
"10238","KCNH3",0.0179965479135054,-0.0824267746120361,0.0305905204661796,0.975636779474618,0.994688405952181,-5.50540247841571
"16768","TLE1P1",-0.0197756291963489,-3.54866134672649,-0.030490916781545,0.975716082092619,0.994688405952181,-5.21935876478298
"8094","PPP6C",0.00354239548485946,6.6713043588904,0.0304414943808172,0.975755431387264,0.994688405952181,-6.43259658226772
